Encryption Algorithm Name,primitive,cryptoFunctions,parameterSetIdentifier,mode
3des-cbc,block-cipher,"encrypt,decrypt",168,cbc
blowfish-cbc,block-cipher,"encrypt,decrypt",128,cbc
twofish256-cbc,block-cipher,"encrypt,decrypt",256,cbc
twofish-cbc,block-cipher,"encrypt,decrypt",,cbc
twofish192-cbc,block-cipher,"encrypt,decrypt",192,cbc
twofish128-cbc,block-cipher,"encrypt,decrypt",128,cbc
aes256-cbc,block-cipher,"encrypt,decrypt",256,cbc
aes192-cbc,block-cipher,"encrypt,decrypt",192,cbc
aes128-cbc,block-cipher,"encrypt,decrypt",128,cbc
serpent256-cbc,block-cipher,"encrypt,decrypt",256,cbc
serpent192-cbc,block-cipher,"encrypt,decrypt",192,cbc
serpent128-cbc,block-cipher,"encrypt,decrypt",128,cbc
arcfour,stream-cipher,"encrypt,decrypt",,
idea-cbc,block-cipher,"encrypt,decrypt",128,cbc
cast128-cbc,block-cipher,"encrypt,decrypt",128,cbc
none,block-cipher,,,
des-cbc,block-cipher,"encrypt,decrypt",56,cbc
arcfour128,stream-cipher,"encrypt,decrypt",128,
arcfour256,stream-cipher,"encrypt,decrypt",256,
aes128-ctr,block-cipher,"encrypt,decrypt",128,ctr
aes192-ctr,block-cipher,"encrypt,decrypt",192,ctr
aes256-ctr,block-cipher,"encrypt,decrypt",256,ctr
3des-ctr,block-cipher,"encrypt,decrypt",168,ctr
blowfish-ctr,block-cipher,"encrypt,decrypt",128,ctr
twofish128-ctr,block-cipher,"encrypt,decrypt",128,ctr
twofish192-ctr,block-cipher,"encrypt,decrypt",192,ctr
twofish256-ctr,block-cipher,"encrypt,decrypt",256,ctr
serpent128-ctr,block-cipher,"encrypt,decrypt",128,ctr
serpent192-ctr,block-cipher,"encrypt,decrypt",192,ctr
serpent256-ctr,block-cipher,"encrypt,decrypt",256,ctr
idea-ctr,block-cipher,"encrypt,decrypt",128,ctr
cast128-ctr,block-cipher,"encrypt,decrypt",128,ctr
AEAD_AES_128_GCM,ae,"encrypt,decrypt",128,gcm
AEAD_AES_256_GCM,ae,"encrypt,decrypt",256,gcm
chacha20-poly1305,ae,"encrypt,decrypt",256,
chacha20-poly1305@openssh.com,ae,"encrypt,decrypt",256,
aes128-gcm@openssh.com,ae,"encrypt,decrypt",128,gcm
aes256-gcm@openssh.com,ae,"encrypt,decrypt",256,gcm
rijndael-cbc@lysator.liu.se,block-cipher,"encrypt,decrypt",128,cbc
